"Reg","Type","CN","Manufacturer","Owner","DateRegistered","Status"
"5Y-BLX","CESSNA 206","U20603251","CESSNA AIRCRAFT COMPANY","MARK PIRAN DEEBLE &, VICTORIA MADELEINE STONE, P. O. BOX 40683, NAIROBI, ","","VALID"
"5Y-BLY","CAMERON A-315","3807","CAMERON BALLOONS LTD","ADVENTURES ALOFT (K) LTD.P.O. BOX 40683,NAIROBI.","","EXPIRED"
"5Y-BLZ","CAMERON 0-160","4069","CAMERON BALLOONS LTD","BALOON SAFARIS LTD. P.O. BOX 43747,NAIROBI.","1997-05-31","VALID"
"5Y-BMA","BEECH KINGAIR 200","BB-155","BEECH AIRCRAFT COMPANY","OWNER: NIELS B. BRUEL, LANGEBARGERD DK-4772 LANGEBAEK DENMARK, LESSEE: AIR TRAFFIC LTD, P.O. BOX 989-00606, NAIROBI , ","2004-09-31","VALID"
"5Y-BMB","DOUGLAS DC3C","17108","BOEING MCDONNEL","OWNER: LEGION EXPRESS INC P.O. BOX 660737MIAMI SPRING FLLESSEE: SKYWAYS KENYA LTD. P.O. BOX 60878NAIROBI.","","EXPIRED"
"5Y-BMC","BEECH KINGAIR 200","BB - 211","BEECH AIRCRAFT COMPANY","OWNER:NIELS B. BRUEL NY-KINGENSGADE 3 DK-1472, COPENHAGEN; DENMARKLESSEE: AVIATION ASSISTANCE A/S DK-4000 ROSKILDE DENMARK SUBLESSEE: AVIATION ASSISTANCE INTL. LTDP.O. BOX 28321NAIROBI.","","EXPIRED"
"5Y-BMD","CESSNA 206G","U20605494","CESSNA AIRCRAFT COMPANY","AFRICAN CONSERVATION FUND (UK), P.O. BOX 24926-00502 , NAIROBI., ","2007-11-31","VALID"
"5Y-BME","CESSNA 210N","T21064239","CESSNA AIRCRAFT COMPANY","YELLOW WINGS AIR SERVICES P.OBOX 4714NAIROBI","","EXPIRED"
"5Y-BMG","LBL 310A","445","","TRANSWOLRD SAFARIS (K) LTD P.O. BOX 44690 NAIROBI","1997-06-31","EXPIRED"
"5Y-BMH","CESSNA 310R","310R-0501","CESSNA AIRCRAFT COMPANY","OIWNER:PETER STANLEY LLSLEY P.O BOX 24310NAIROBI","2004-09-31","EXPIRED"
"5Y-BMI","LBL 180 A","447","","TRANSWORLD SAFARIS (K) LTD, P.O. BOX 44690,, NAIROBI., ","1997-07-31","VALID"
"5Y-BMJ","DHC-7 102","83","DE-HAVILLAND AIRCRAFT OF CANADA","AIR KENYA AVIATION LTD P. O. BOX 30357NAIROBI","1997-06-31","EXPIRED"
"5Y-BMK","LBL-310A","446","LINDSRAND BALLOONS LTD","TRANSWORLD SAFARIS (K) LTD., P.O. BOX 44690,, NAIROBI., ","1997-06-31","VALID"
"5Y-BML","CAMERON A-275","4180","CAMERON BALLOONS LTD","MARA BALLOON SAFARISP.O. 42352 NAIROBI","1997-06-31","EXPIRED"
"5Y-BMN","GULFSTREAM G164D","20D","GULFSTREAM AMERICAN CORPORATION","FARMLAND DEVELOPMENT & MARCUS DUNNP.O. BOX 2226NAKURU","1997-09-31","EXPIRED"
"5Y-BMO","MOONEY","M20K","","GIORGIO ZONZA P.O. BOX 363WATAMU.","","EXPIRED"
"5Y-BMR","GULFSTREAM G-159","8194","","OWNER: LEGION EXPRESS INC.4051 N.W 145TH STREET OPA LOCKA FL 33054, U.S.ALESSEE: SINCEREWAYSP.O. BOX 60878 NAIROBI.","","EXPIRED"
"5Y-BMU","CESSNA 210N","210-63739","CESSNA AIRCRAFT COMPANY","OWNER: MISSION AVIATION FELLOWSHIP (EUROPE) INGLES MANOR, CASTLE HILL AVENUE FOLESTONE, KENT, U.K.OPERATOR: MAF (EUROPE) KENYA PROGRAMME P.O. BOX 21123NAIROBI.","","EXPIRED"
"5Y-BMV","CAMERON A-400","4211","CAMERON BALLOONS LTD","ADVENTURES ALOFT (K) LTDP.O. BOX 40683 NAIROBI.","1997-11-31","EXPIRED"
"5Y-BMW","BOEING 727-100C","18255","BOEING AIRCRAFT COMPANY","OWNER: DAVID TOKOPH P.O. BOX 12 SANTA TERESA,NM 88008 OPERATOR: TANA AND MARA AVIATION P.O. BOX 67216 NAIROBI","1998-03-31","EXPIRED"
"5Y-BMY","ROCKWELL TURBO COMMANDER 690B","11474","","TURBINE SERVICES LTD., P.O. BOX 25149,, NAIROBI., ","1998-02-31","VALID"
"5Y-BMZ","CESSNA 208B","208B-0367","CESSNA AIRCRAFT COMPANY","TITAN AIR LTD P.O. BOX 140-00502 NAIROBIFINANCIER: CFC STANBIC BANK LTD P.O. BOX 72833-00200 NAIROBI","1900-01-31","VALID"
"5Y-BNC","CESSNA 310R","310R-0664","CESSNA AIRCRAFT COMPANY","DAVID SETON P.O. BOX 42730, NAIROBI","1998-03-31","VALID"
"5Y-BNE","CESSNA 182P","182-60943","CESSNA AIRCRAFT COMPANY","YELLOW WINGS AIR SERVICES LTDP.O BOX 4714-00506 LENGAI HOUSE, WILSON AIRPORT NAIROBI ","2008-02-31","VALID"
"5Y-BNF","KITFOX IV SPEEDSTAR","ACS099","SKYSTAR AIRCRAFT CORPORATION","RUDOLF KURT KLAUS DIETER ROTTCHER P.O. BOX 24525NAIROBI","1998-06-31","EXPIRED"
"5Y-BNG","CESSNA 208B","208B0257","CESSNA AIRCRAFT COMPANY","OWNER: MISSION AVIATION FELLOWSHIP (EUROPE), ENTERPRISE HOUSE GODINGTON ROAD, ASHFORD KENT TN 23 LEU, UK., LESSEE: MISSION AVIATION FELLOWSHIP, (KENYA PROGRAMME), P O BOX 21123.NAIROBI, ","1998-07-31","VALID"
"5Y-BNH","CESSNA 208B","00 385","CESSNA AIRCRAFT COMPANY","OWNER: KING AIR SERVICES, P O Box 29044, MALVILLE, SOUTH AFRICA 21109, LESSEE: AIRWORKS (K) LTD, P O BOX 27508, NAIROBI, ","1900-01-31","VALID"
"5Y-BNI","THUNDER &COLT 400A","4389","THUNDER & COLT MANUFACTURER","MARA BALOON SAFARIS LTDP.O. BOX 48217 NAIROBI","1999-08-31","EXPIRED"
"5Y-BNJ","BOEING 707 -336C","19498","BOEING AIRCRAFT COMPANY","OWNER: GREGO AIR ING.7309 BOEING DRIVE ALPASOTAXES 79925LESSEE: AEROPARES CONSORTIAMP O BOX 67216NAIROBI","","EXPIRED"
"5Y-BNL","CAMERON A-210","4348","CAMERON BALLOONS LTD","BALLOON SAFARIS LIMITED, P O Box 43747, , NAIROBI, ","1998-09-31","EXPIRED"
"5Y-BNM","CESSNA CU206F","U206-03115","CESSNA AIRCRAFT COMPANY","ROBIN NONO ULYATE,, P. O. BOX 24887,, NAIROBI, ","","VALID"
"5Y-BNN","CESSNA 208B","208B0683","CESSNA AIRCRAFT COMPANY","OWNER: BLUENILE AVIATION CREDIT BANK,, P. O. BOX 78018NAIROBI., FINANCIER:CREDIT BANK LTD, P.O.BOX 61064 NAIROBI, ","2005-06-31","EXPIRED"
"5Y-BNQ","CESSNA 182-","182-56762","CESSNA AIRCRAFT COMPANY","OWNER: STUART CHARLES SCOTTP.O. BOX 14870 NAKURU ","2006-12-31","VALID"
"5Y-BNS","CESSNA 208B","208B-0394","CESSNA AIRCRAFT COMPANY","OWNER: HDM AIR (PTY) LTD, P. O. BOX 301, JUKSEI PARK,2153, SOUTH AFRICA, LESSEE: SAFARI LINK AVIATION,, P. O. BOX 41937,, NAIROBI., ","2008-02-31","VALID"
"5Y-BNU","M-16T","1698096","MAGNI GYRO","SAMBONI LIMITED P.O. BOX 24152NAIROBI","1998-11-31","EXPIRED"
"5Y-BNW","CESSNA 404","404-0069","CESSNA AIRCRAFT COMPANY","PRESTIGE AIR EXPRESS LIMITED P.O. BOX 43607NAIROBI","2001-11-31","EXPIRED"
"5Y-BNX","PIPER PA28-250","28-10840","PIPER AIRCRAFT COMPANY","MRS VANESA JANE EVANS, P.O. BOX 15030, NAKURU, ","1999-02-31","VALID"
"5Y-BNY","DOMINATOR 2 914 GYROPLANE","1/914","","JOHN ERIIS MURRAY CAMMP.O. BOX 24849 NAIROBI","","EXPIRED"
"5Y-BNZ","CESSNA FR172J","172-0396","CESSNA AIRCRAFT COMPANY","MOHAMED SAID CHUTE P.O BOX 78018 NAIROBI ","","VALID"
"5Y-BOB","CESSNA 182P","182-63997","CESSNA AIRCRAFT COMPANY","ILALA DAIRIES LIMITED P.O. BOX 60RONGAI","1999-06-31","EXPIRED"
"5Y-BOC","KIT FOX SERIES","395030111","SYLVAN K. ADAMSON","JOHN HERBERT BAXENDALE, P.O. BOX 24397,, NAIROBI, ","1999-07-31","VALID"
"5Y-BOD","LET 410 UVP-E20","982727","LET A.S.KUNOVICE","OWNER: PELICAN AVIATION LTD, HIRZEL COURT (C3) , ST. PETER GUERNSEY , CHANNEL ISLANDS GY12NL, LESSEE: BLUE SKY AVIATION LTD, P.O. BOX 18578, MOMBASA , ","2005-12-31","VALID"
"5Y-BOE","CESSNA 182F","182-63553","CESSNA AIRCRAFT COMPANY","GEOMAPS AFRICA LIMITEDP. O. BOX 61071-00200 NAIROBI ","2008-11-31","EXPIRED"
"5Y-BOF","CAMERON A315","4520","CAMERON BALLOONS LTD","ADVENTURES ALOFT (K) LTD P. O. BOX 40683NAIROBI","","VALID"
"5Y-BOG","ROBINSON R22 BETA","1280","ROBINSON HELICOPTER COMPANY","OWNER: LEOPARD SYSTEMS LTD6 BLUD GEORGES-FAVON 1211 GENEVA 11,SWITZERLAND LESSEE: SUNBIRD HELICOPTERS LTD P.O. BOX 57403NAIROBI ","1997-09-31","EXPIRED"
"5Y-BOH","KITFOX SERIES 5","596120202","SKYSTAR AIRCRAFT CORPORATION","DAVID OWEN SARAH ANNE (WITHEY) P.O BOX 38888NAIROBI ","","EXPIRED"
"5Y-BOJ","CAMERON A-315","4713","CAMERON BALLOONS LTD","BALLON SAFARIS LTD P.O.BOX 43747NAIROBI","2000-08-31","EXPIRED"
"5Y-BOK","AYRES S2R-T45","T65-0170C","AYRES CORPORATION","FARMLAND AVIATION LTD, P.O.BOX 2226 NAKURU., ","","VALID"
"5Y-BON","PIPER PA-28-140","28-22452","PIPER AIRCRAFT COMPANY","CMC AVIATION LTD , P.O.BOX 44580,, NAIROBI., ","","VALID"
"5Y-BOO","ALBATROS","MICROLITE","HELFF GmbH &CO. FLUGZEUGBAU KG","GIOVANNI PARAZZI P.O.BOX 216 WATAMU","","EXPIRED"
"5Y-BOP","CESSNA 208 GRAND CARAVAN","208B 0642","CESSNA AIRCRAFT COMPANY","OWNER: HDM AIR (PTY) LTD , P.O.BOX 580,NORTH RIDING, S.A 2162, LESSE SAFARI LINK, P.O.BOX 41937, NAIROBI, FINANCIER, WESABANK, P.O BOX 5996JOHANESBURG 2000 RSA, ","2005-07-31","VALID"
"5Y-BOV","CESSNA 182F","182-54884","CESSNA AIRCRAFT COMPANY","WILLIAM ERNEST POTGIETER P.O.BOX 15342 NAKURU.","2000-12-31","VALID"
"5Y-BOW","CESSNA 182","18261493","CESSNA AIRCRAFT COMPANY","OWNER:AVRO LEASING, ORDINANCE HOUSE 31 PIER ST, HELIER ISLAND OF JERSEY, LESSEE: TROPIC AIR, P O BOX 161, NANYUKI. , ","2001-09-31","VALID"
"5Y-BOX","CESSNA 208B","208B0500","CESSNA AIRCRAFT COMPANY","DAVID SETONP. O. BOX 42730NAIROBI","2001-02-31","VALID"
"5Y-BOZ","CAMERON A-415","SN4950","CAMERON BALLOONS LTD","ADVENTURES ALOFT (K) LTD,, P. O. BOX 40683,, NAIROBI, ","2000-11-31","EXPIRED"
"5Y-BPA","CAMERON A315","10019","CAMERON BALLOONS LTD","BALLOON SAFARIS LTD, P O BOX 43747, NAIROBI, ","2001-07-31","VALID"
"5Y-BPB","CAMERON A315","10020","CAMERON BALLOONS LTD","BALLOON SAFARIS LTD, P O BOX 43747, NAIROBI, ","2001-01-31","VALID"
"5Y-BPC","CESSNA U206","U206-02471","CESSNA AIRCRAFT COMPANY","GIORGIO FORNO & ENRICA FORNOP.O. BOX 20442 NAIROBI.","","EXPIRED"
"5Y-BPD","DHC-7","32","DE-HAVILLAND AIRCRAFT OF CANADA","AIRKENYA AVIATIONP.O. BOX 30357-00100NAIROBI","2007-09-31","EXPIRED"
"5Y-BPE","LBL 310A","808","LINDSRAND BALLOONS LTD","TRANSWORLD SAFARIS LTD P.O. BOX 4469 NAIROBI","2002-01-31","VALID"
"5Y-BPF","PZL-104 “WILGA 35""","17820687","PANSTOWE ZAKLADY LOTNICZE","THOMAS PATRICK GILBERT CHOLMONDELEN DELEMERE ESTATE LTD, SOYSAMBU ESTATE PRIVATE BAG NAKURU","2001-11-31","EXPIRED"
"5Y-BPG","JABIRU 2200SP","0337","JABIRU AIRCRAFT PTY LTD","ANTHONY JOSEPH WYNDHAM MONKHOUSE, P. O. BOX 1836-20117 NAIVASHA","2008-10-31","EXPIRED"
"5Y-BPH","BANDERANTES EMB 110-196","100-196","EMBRAER AVIATION","OWNER: BSTM-BANCO STANDARD TOTTA DE MOZAMBIQUE SARL PRACA 25 JUNHO NO.1 MAPUTO, MOZAMBIQUE LESSOR: TRANSAIRWAYS TRANSPORTERS COMMERCIAL LIMITADA PRACA 25 JUNHO NO.1-MAPUTO, MOZAMBIQUE LESSEE: KNIGHT AVIATION LTDP O BOX 10950NAIROBI","2001-11-31","EXPIRED"
"5Y-BPI","BOEING-737-2002","1356","BOEING AIRCRAFT COMPANY","OWNER: AERO CAPITAL LTD 16 CLANWILLIAM TERRACE DUBLIN 2 IRELLESSEE AIRKENYA AVIATION LTDP. O. BOX 30357 NAIROBI","2001-11-31","EXPIRED"
"5Y-BPJ","BEECH 200","BB 327","BEECH AIRCRAFT COMPANY","THREE TWO SEVEN CORP. USA& KNIGHT AVIATION LTD 30 OLD RUDNICK LN DOVER DE 19901-4912 & P. O. BOX 10950 NAIROBI","2001-07-31","EXPIRED"
"5Y-BPK","CESSNA 182Q","182-65771","CESSNA AIRCRAFT COMPANY","PALE JUEL RURE, P O BOX 227, NAIVASHA, ","2002-02-31","VALID"
"5Y-BPL","CESSNA U206","U206-04203","CESSNA AIRCRAFT COMPANY","OLDONYO LARO ETATE LTDP. O. BOX 140-00502 NAIROBI FINANCIER: CFC BANK LIMITED P.O. BOX 72833-00200 NAIROBI","2008-11-31","EXPIRED"
"5Y-BPM","CESSNA 182P","182-62638","CESSNA AIRCRAFT COMPANY","HEDDA STEYN P O BOX 44924NAIROBI","2002-03-31","VALID"
"5Y-BPN","S2R-T15","T15-042","AYRES CORPORATION","OWNER: OAFC AVIATION FOUR LTD, SUITE 30 3RD FLOOR BRORKLY , WHARF LE-CANDAM WATER FRONT , PORT LOUIS MAURITIUS, LESSEE: FARMLAND AVIATION LTD, P O BOX 2226NAKURU, ","2002-04-31","VALID"
"5Y-BPR","COMPARE","6","AERO COMPANY INC","ARNOLD LEWIS MICHELL P.O BOX 4VILLAGE MKRTNAIROBI","2004-05-31","VALID"
"5Y-BPS","UFM-10","SAMBA","URBAN AIR  S.R.O","PHILIP MICHAEL SNYDERP O BOX 24152 NAIROBI","2002-08-31","VALID"
"5Y-BPU","PIPER PA23-250","27-3557","PIPER AIRCRAFT COMPANY","OWNER: CMC AVIATION LTD, P O BOX 44580-00100, NAIROBI, , ","2007-08-31","VALID"
"5Y-BPV","PIPER PA32-300","3240541","PIPER AIRCRAFT COMPANY","SHEPARD AVIATION CONSULTANCY, P. O. BOX 3452, NAIROBI, ","2002-06-31","EXPIRED"
"5Y-BPY","DG-400","4-269","GLASER DIRKS","ALAN P. L. BINKS P. O. BOX 24540KAREN 00502","2002-07-31","EXPIRED"
"5Y-BRA","PIPER PA28A-200","28R-7335007","PIPER AIRCRAFT COMPANY","GABRIEL MUHUTHIA WANDERIP. O. BOX 52959 NAIROBI","2002-09-31","EXPIRED"
"5Y-BRE","CESSNA 208B","208B0987","CESSNA AIRCRAFT COMPANY","OWNER: MISSION AVIATION FELLOWSHIP EUROPE, MAF EUROPE OPERATION CENTRE, HENWOOD KENT TN24 8DH, UNITED KINGDOM, LESSEE: MISSION AVIATION FELLOWSHIP KENYA, P O BOX 21123 NAIROBI, KENYA, ","2002-12-31","VALID"
"5Y-BRF","SUPER DRIFFER","LA-1056","SUPER DRIFFER","OWNER: JOEL EDWIN COBBS, P. O. BOX 883, NAIVASHA, , ","2003-03-31","EXPIRED"
"5Y-BRG","CESSNA P2064","P206-259","CESSNA AIRCRAFT COMPANY","OWNER: LOREN DAVIS MINISTRIES INTERNATIONAL, P. O. BOX 238, LIVINGSTON TX77351-0238, LESSEE, FULL GOSPEL CHURCH OF KENYA, P.O.BOX 6434NAIROBI, ","2003-03-31","EXPIRED"
"5Y-BRH","CESSNA 206","U206-1567","CESSNA AIRCRAFT COMPANY","TERRE DES HOMMES NL, P. O. BOX 76340, NAIROBI, ","2003-03-31","EXPIRED"
"5Y-BRI","CESSNA U206B","U206-0759","CESSNA AIRCRAFT COMPANY","SMALL LUXURY HOTELS SAFARI'S LTDP.O. BOX 43370NAIROBI","2005-09-31","VALID"
"5Y-BRJ","PIPER PA32R-301 T","32R-8229014","PIPER AIRCRAFT COMPANY","MANDA AIR SERVICESP.O BOX 24576-00502 NAIROBI","2008-05-31","VALID"
"5Y-BRL","KAVANAGH B-400","B-400-307","KAVANAGH BALLOONS PTY LTD","OWNER: AIRCRAFT LEASING SERVICES , PALM GROVE HOUSE, P. O. BOX 438 TORTOLA, BVI, LESSEE: MUSIARA LIMITED, P. O. BOX 48217, NAIROBI 00100, ","2004-08-31","EXPIRED"
"5Y-BRN","FOKKER F27-300","10155","FOKKER B.V","PROFILE INVESTMENTS, P. O. BOX 44501, NAIROBI, ","2003-10-31","VALID"
"5Y-BRO","CESSNA 150L","15075167","CESSNA AIRCRAFT COMPANY","OWNER:NINETY NINE FLYING SCHOOL P.O BOX 46968-00100NAIROBI","2005-12-31","EXPIRED"
"5Y-BRP","DOUGLAS DC 6","44632","BOEING AIRPLANE COMPANY","OWNER/LESSOR: SUN AIRCRAFT LEASING INC 777 BRICKELL AVENUE, MIAMI FLORIDA 33131LESSEE: KATE FRIGHT AND TRAVEL LTDP.O. BOX 5928NAIROBI","1994-09-31","EXPIRED"
"5Y-BRR","SINUS 912 PIPESTREL","11459120803","PIPESTRET","LIGHT PLANE MAINT. LTD P.O BOX 40813NAIROBI P. O. BOX 926 NYERI","2003-11-31","VALID"
"5Y-BRS","ZENAIR ZODIAC","60IHD96-3241)","BILL NORTON","PETER ALLMENDINGERP.O BOX 926 NYERI","2004-04-31","EXPIRED"
"5Y-BRT","CESSNA 208B","208B-0682","CESSNA AIRCRAFT COMPANY","TROPIC AIR LTDP. O. BOX 161 NANYUKISTANBIC BANK LTD (K) P. O. BOX 30550 NAIROBI","2006-03-31","VALID"
"5Y-BRU","LET 410 UVP-E9","912539","LET A.S.KUNOVICE","OWNER:UAF AVIATION EIGHTEEN LTD. SUITE 320 3RD FLR ,BARKLY WHARF LE GAUDAN WATERFRONT PORTLOIUS MAURITIUSLESSEEE:MOMBASA AIR SAFARI LTDP.O BOX 93901MOMBASA.","","EXPIRED"
"5Y-BRV","BOEING","707-307C","BOEING AIRCRAFT COMPANY","BLUE AIR LEASING FZC BOX 8751,SALF ZON SHARJAH-UAELESSEE:AEROSPACE CONSORTIUM LTD KAHL BLD,SUITE 151 P.O. BOX 5400-00506NAIROBI,KENYA","2007-02-31","EXPIRED"
"5Y-BRW","CESSNA 185","34126","CESSNA AIRCRAFT COMPANY","YVES JEANPIERRE DEGIACOMI,, P. O. BOX 73226, NAIROBI, ","2004-01-31","EXPIRED"
"5Y-BRX","DORNIER 228-100","7004","DORNIER GmbH.","OWNER: ALS EUROPE LTD, 25 CANNON ST, LONDON EC4M5SE UK, LESSEE: AUTAIR VENTURES, P. O. BOX 222, MALINDI, ","2007-09-31","VALID"
"5Y-BSA","LET","410-UVP-E9,892323","LET A.S.KUNOVICE","OWNER: PERSIAN AVIATION LTD MERZEL COURT (CZ), ST PETERSPORT GUERSEY, CHANEL ISLAND, GY 12 NL LESSEE: BLUE SKY AVIATION SERVICES LTD P.O. BOX 18618, NAIROBI","2004-07-31","VALID"
"5Y-BSB","JABIRU J400","134","SHADOW LITE CC.","ROBERT DE.JONGP.O. BOX 47074NAIROBI","2004-07-31","VALID"
"5Y-BSD","FIREFLY 9B-15","F9B-2002","FIREFLY 9B-15","AIRBONE AFRICAN ANTICS, P. O. BOX 64933, NAIROBI, ","2004-07-31","EXPIRED"
"5Y-BSE","CESSNA 206G","U20603699","CESSNA AIRCRAFT COMPANY","PALM GROVE HOUSE, BRITISH VIRGIN ISLANDS, LESSEE: MUSIARA LIMITED, P. O. BOX 48217, NAIROBI 00100, KENYA, ","2004-10-31","VALID"
"5Y-BSF","SKY 220-24","96","SKY BALLOONS LTD/G.B","GO BALLOONING KENYA LTD P.O.BOX 58064-00200 NAIROBI","2004-12-31","VALID"
"5Y-BSG","CESSNA 182F","182-54632","CESSNA AIRCRAFT COMPANY","LEE EDWARD ROSE, P. O. BOX 80, MENENGAI WEST, ","2004-10-31","VALID"
"5Y-BSH","PIPER PA18-150","18-839005","PIPER AIRCRAFT COMPANY","NIGEL ANDREW DUNDAS, P. O. BOX 41822, NAIROBI, ","2004-10-31","EXPIRED"
"5Y-BSI","BEECH 1900C","UC-172","BEECH AIRCRAFT COMPANY","OREST-IMMORENT LEASING AmbH WINDMUHLGASSE 22-24 A-1060 WIEN OSTRING, LESSOR: ULL 13 (DREIZEHN) BETEILI WINGS-UNO MANAGEMENT GmbH & CO KEG WALDSTRABE 14. 2522 OBERWALTERSDORF AUSTRIA, LESEE: KNIGHT AVIATION LTD P. O. BOX 10950 , NAIROBI, ","2004-10-31","EXPIRED"
"5Y-BSJ","PIPER PA28-235","28-7610096","PIPER AIRCRAFT COMPANY","SIMON JOHN G. DUGDALE, LEWA DOWN , PRIVATE BAG , ISIOLO, ","2004-12-31","VALID"
"5Y-BSK","CESSNA 150F","150-63477","CESSNA AIRCRAFT COMPANY","ALLAN CULLINAN HERD, P. O. BOX 10144 BAMBURI, 80101 MOMBASA, ","2005-01-31","VALID"
"5Y-BSL","CESSNA U206F","U206-02471","CESSNA AIRCRAFT COMPANY","JEREMY MARK BLOCK,, P.O. BOX 20109, NAIROBI, ","1989-05-31","VALID"
"5Y-BSM","LET 410 UVP E9","871939","LET A.S.KUNOVICE","PELICAN AVIATION LTD HIRZEL COURT (C3) ST.PETER PORT GURNSEY CHANNEL ISLANDS GY12NL, LESSEE: BLUE SKY AVIATION LTD, P.O.BOX 18518 NAIROBI, ","2005-08-31","VALID"
"5Y-BSN","BEECH 1900C","UC-069","BEECH AIRCRAFT COMPANY","OWNER:GLOBAL AIR CHARTERS LTD, P. O. BOX 2809-00100, NAIROBI, ","2008-11-31","EXPIRED"
"5Y-BSO","KR-2","PE 1","RAND ROBISON ENGINEERING","ABERCROMBY DICK DIGHTON WILLIAM, P.O.BOX 47906 NAIROBI, ","2005-05-31","EXPIRED"
"5Y-BSP","BEECH 1900D","UE 97","BEECH AIRCRAFT COMPANY","OWNER: SANDHOE INVESTMENT LIC BELLOZANE ROAD ST. HELLER JERSEY, C.I JE 2 3JW, LESSOR: EXECUTIVE TURBINE AVIATION (PTY) LTD, BOX 582 LANSERIA 1748 RSA, SUB LESSEE: EXECUTIVE TURBINE KENYA LTD P.O., BOX 3732-00506 NAIROBI, ","2008-04-31","VALID"
"5Y-BSS","BEECH 1900C","UC 88","BEECH AIRCRAFT COMPANY","OWNER: SANDHOE INVESTMENT BERESFORD HOUSE, BELLOZANNE ROAD ST. HELIER JERSEY JE23JW, CHANNEL ISLANDS., LESSOR: EXECUTIVE TURBINE AVIATOIN AVIATION LTD, BOX 582 LANSERIA, 1748 RSA , LESSEE: EXECUTIVE TURBINE KENYA LTD P.O BOX 3732-00506 NAIROBI KENYA, ","2008-05-31","VALID"
"5Y-BST","CAMERON A-415","10395","CAMERON BALLOONS LTD","BALLON SAFARIS LTD, P.O. BOX 43747 , NAIROBI, ","2005-04-31","VALID"
"5Y-BSU","BEECH 200","BB-222","BEECH AIRCRAFT COMPANY","OWNER: SANDHOE INVESTMENT LLC, P.O.BOX 1605 PERBRICAN AVENUE,CHEYENNE,WYOMING 82001,USA, LESSOR:EXECUTIVE TURBINE AVIATOIN PTY LRD 582 LANSERIA,1748 SOUTH AFRICA, LESSEE: ALS LTD BOX 41937,00100 NAIROBI, ","2008-04-31","EXPIRED"
"5Y-BSW","JABIRU 2200","PFA-274-13225","JABIRU AIRCRAFT PTY LTD","BENALDO MURRAY RELIEF , P.O.BOX 672 MALINDI , ","2006-01-31","VALID"
"5Y-BSX","HS 748ANDOVER","7627","HAWKER SIDDLEY ","748 AIR SERVICES LTD, P.O.BOX 53012I NAIROBI, ","2005-07-31","EXPIRED"
"5Y-BSY","CESSNA 208 B 208B","0907","CESSNA AIRCRAFT COMPANY","TROPIC AIR LTD&FINA BANK LTDP.O. BOX 161 NANYUKI& 20163 NAIROBI RESP, ","2005-08-31","VALID"
"5Y-BSZ","PIPER PA 28-235","26-10236","PIPER AIRCRAFT COMPANY","TUMILI LTD P.O. BOX 279TIMAU 10402 KENYA , ","2006-01-31","VALID"
"5Y-BTB","BALLOON B400","B400-326","KAVANAGH BALLOONS AUSTRALIA PTY","GOVERNORS BALLOON SAFARIS LTD, P. O. BOX 4827-00100, NAIROBI, ","2005-12-31","EXPIRED"
"5Y-BTC","CESSNA A 185 F","185-03601","CESSNA AIRCRAFT COMPANY","CLIFFORD IAN NOLAN NEYLAN, BOX 1115 NALLUVIE, ","2005-08-31","VALID"
"5Y-BTD","FOKKER F27-M300","10154","FOKKER B.V","PROFILE INVESTMENT LTD, P.O.BOX 72519,NAIROBI, ","2005-08-31","EXPIRED"
"5Y-BTE","RV –7/7/7A","71358","VANS AIRCRAFT INC","CRISTOPHER JOHN HARDISTY, P.O.BOX 13567 , NAIROBI, ","2005-10-31","VALID"
"5Y-BTF","BEECHCRAFT","1900C-UC-132","BEECH AIRCRAFT COMPANY","OWNER: NIELES BIRKE BRUEL, P.O BOX 4772 LAGE BACK, LESSEE:AIR TRAFIC LTD P.O. BOX 989-00600 NAIROBI","2005-11-31","VALID"
"5Y-BTG","BEECHCRAFT 1900C","UC-96","BEECH AIRCRAFT COMPANY","OWNER:SANDHOE INVESTMENT KENYA LIMITEDP.O. BOX 3732-00506 NAIROBILESSEE: EXCUTIVE TURBINE KENYA LTD P.O. BOX 3732-00506NAIROBI, FINANCIER: BARCLAYS BANK HEADOFFICEP.O. BOX 30120-00100 NAIROBI","2008-05-31","VALID"
"5Y-BTH","CAMERON A- 315","10745","CAMERON BALLOONS LTD","BALLON SAFARIS LTD , BOX 43747, NAIROBI, ","2006-01-31","VALID"
"5Y-BTI","CAMERONZ-250","10421","CAMERON BALLOONS LTD","BALLONNSASFARIS LTD , P.O.BOX 43747, NAIROBI, ","2006-02-31","VALID"
"5Y-BTL","AEROCOMMANDER 690 A","11103","TWIN COMMANDER AIRCRAFT CORPORATION","OWNER: AID AND AVIATION LTD, 4TH FL LESCASADES, BUILDINGEDITH CAVEEL, STREET PORT LOUIS, MAURITIUS, LESSEE: TURBINE SERVICES LTD, P.O BOX 804 KAREN 00502,NAIROBI , ","2005-12-31","EXPIRED"
"5Y-BTN","BEECH 1900 D UE","118","BEECH AIRCRAFT COMPANY","OWNER:SANDHOE INVESTMENT LLC, BOX HANGAR 201 GATE 7 LANSERIA 1748 GAUTENG, LESSEE: EXECUTIVE TURBINE AVIATION (PTY) LTD, BOX HANGAR 201 GATE 7 LANSERIA AIR PORT 1748 GAUTENG, SUBLESSEE: ALS LTD BOX 41937-00100NAIROBI, ","2008-04-31","VALID"
